model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
 A8,2017,38995,Automatic,3338,Diesel,145.0,50.4,3.0,audi
 Q5,2018,42995,Automatic,4286,Petrol,145.0,34.0,3.0,audi
 Q5,2018,28995,Automatic,22913,Diesel,145.0,56.5,2.0,audi
 Q5,2019,36995,Semi-Auto,4125,Diesel,145.0,38.2,2.0,audi
 Q3,2019,34995,Semi-Auto,4000,Petrol,145.0,31.7,2.0,audi
 Q5,2019,38495,Semi-Auto,5123,Diesel,145.0,38.2,2.0,audi
 A4,2019,43495,Automatic,5000,Diesel,145.0,40.9,3.0,audi
 A5,2019,34995,Automatic,6500,Diesel,145.0,46.3,2.0,audi
 Q5,2017,35995,Semi-Auto,29832,Petrol,145.0,34.0,3.0,audi
 Q2,2017,21495,Manual,11125,Petrol,125.0,50.4,1.4,audi
 Q5,2019,36995,Automatic,11565,Diesel,145.0,38.2,2.0,audi
 A3,2019,22995,Automatic,10434,Petrol,145.0,42.2,1.5,audi
 A3,2016,11990,Manual,61332,Diesel,20.0,68.9,2.0,audi
 A4,2017,21998,Semi-Auto,10533,Petrol,145.0,49.6,1.4,audi
 A4,2017,20798,Semi-Auto,13611,Petrol,145.0,50.4,1.4,audi
 A6,2016,21880,Semi-Auto,15559,Diesel,150.0,56.5,2.0,audi
 Q2,2017,16440,Manual,18882,Petrol,150.0,55.4,1.0,audi
 Q3,2017,19000,Manual,18698,Petrol,145.0,49.6,1.4,audi
 A3,2016,16000,Manual,16837,Petrol,20.0,60.1,1.4,audi
 A1,2019,18990,Manual,2903,Petrol,150.0,51.4,1.0,audi
 Q2,2017,20650,Semi-Auto,18745,Petrol,150.0,52.3,1.4,audi
 A1,2019,21790,Semi-Auto,4454,Petrol,150.0,40.9,2.0,audi
 A1,2019,21444,Semi-Auto,6295,Petrol,145.0,40.9,2.0,audi
 A6,2017,21998,Semi-Auto,22456,Diesel,145.0,61.4,2.0,audi
 A4,2018,17998,Manual,25922,Petrol,145.0,50.4,1.4,audi
 Q3,2015,16998,Manual,23960,Diesel,145.0,52.3,2.0,audi
 A4,2018,21798,Semi-Auto,11040,Petrol,145.0,49.6,1.4,audi
 A4,2018,20498,Semi-Auto,15987,Petrol,150.0,50.4,1.4,audi
 A3,2017,13495,Manual,12396,Petrol,20.0,60.1,1.0,audi
 A3,2017,11495,Manual,51870,Petrol,20.0,62.8,1.4,audi
 A1,2016,9995,Manual,28790,Petrol,0.0,67.3,1.0,audi
 A6,2017,13995,Manual,47000,Diesel,30.0,65.7,2.0,audi
 A6,2015,11995,Manual,37300,Diesel,30.0,65.7,2.0,audi
 Q3,2017,19495,Manual,18972,Diesel,145.0,56.5,2.0,audi
 A4,2017,13995,Semi-Auto,70580,Diesel,145.0,70.6,2.0,audi
 A5,2018,22795,Semi-Auto,21993,Diesel,145.0,62.8,2.0,audi
 A3,2017,15495,Manual,49471,Diesel,145.0,65.7,2.0,audi
 A4,2016,14495,Manual,66000,Diesel,30.0,67.3,2.0,audi
 A4,2016,16750,Semi-Auto,50715,Diesel,30.0,65.7,2.0,audi
 A5,2017,20450,Manual,12978,Petrol,145.0,49.6,2.0,audi
 A6,2018,27500,Semi-Auto,7825,Diesel,145.0,50.4,2.0,audi
 A3,2019,23535,Semi-Auto,12863,Petrol,145.0,41.5,1.5,audi
 A3,2019,21374,Automatic,14520,Petrol,145.0,41.5,1.5,audi
 A3,2019,23413,Semi-Auto,12971,Petrol,145.0,41.5,1.5,audi
 A1,2019,21714,Semi-Auto,2942,Petrol,145.0,47.1,1.0,audi
 Q5,2018,42500,Semi-Auto,7566,Petrol,145.0,34.0,3.0,audi
 Q7,2019,43500,Semi-Auto,2977,Diesel,145.0,33.2,3.0,audi
 A3,2019,21450,Manual,7315,Diesel,145.0,55.4,2.0,audi
 A1,2019,25888,Semi-Auto,14,Petrol,145.0,40.4,2.0,audi
 A3,2017,16650,Semi-Auto,14712,Petrol,30.0,57.6,1.4,audi
 Q2,2017,15835,Manual,25483,Petrol,30.0,55.4,1.0,audi
 A4,2017,19750,Semi-Auto,9806,Petrol,30.0,53.3,2.0,audi
 A1,2020,19444,Manual,4000,Petrol,145.0,49.6,1.0,audi
 Q2,2020,25990,Manual,1500,Petrol,145.0,43.5,1.5,audi
 A4,2020,25990,Semi-Auto,1500,Petrol,145.0,42.8,2.0,audi
 A6,2019,30888,Automatic,9350,Diesel,145.0,47.9,2.0,audi
 TT,2019,26500,Manual,3890,Petrol,145.0,39.8,2.0,audi
 A6,2019,43888,Semi-Auto,8735,Diesel,145.0,37.7,3.0,audi
 Q3,2016,15995,Manual,22515,Petrol,125.0,50.4,1.4,audi
 A4,2016,15745,Semi-Auto,57828,Diesel,30.0,65.7,2.0,audi
 A4,2017,16995,Automatic,21641,Petrol,145.0,51.4,1.4,audi
 A3,2017,13795,Manual,18454,Diesel,145.0,70.6,1.6,audi
 A3,2017,12595,Semi-Auto,36633,Petrol,20.0,62.8,1.0,audi
 TT,2013,13455,Manual,39511,Diesel,145.0,53.3,2.0,audi
 A6,2016,14295,Manual,35047,Diesel,30.0,65.7,2.0,audi
 Q3,2016,13995,Semi-Auto,58406,Petrol,145.0,47.9,1.4,audi
 Q3,2016,17400,Manual,21331,Diesel,145.0,52.3,2.0,audi
 Q3,2017,17800,Manual,14707,Petrol,125.0,51.4,1.4,audi
 A1,2016,11990,Manual,27706,Petrol,30.0,55.4,1.4,audi
 A3,2016,13250,Manual,30928,Diesel,20.0,67.3,2.0,audi
 A6,2017,20250,Semi-Auto,41272,Diesel,145.0,61.4,2.0,audi
 Q7,2017,53990,Semi-Auto,30427,Diesel,145.0,39.2,4.0,audi
 A1,2019,19888,Manual,3334,Petrol,145.0,47.9,1.0,audi
 Q2,2019,24250,Semi-Auto,2091,Diesel,145.0,47.9,1.6,audi
 Q2,2019,25250,Manual,2683,Petrol,145.0,43.5,1.5,audi
 Q2,2019,28888,Semi-Auto,2311,Petrol,145.0,42.2,1.5,audi
 Q2,2019,28690,Semi-Auto,1910,Petrol,145.0,42.2,1.5,audi
 A3,2019,19490,Manual,2492,Petrol,145.0,49.6,1.0,audi
 A1,2016,9895,Manual,75189,Diesel,0.0,80.7,1.6,audi
 Q3,2016,15595,Manual,52804,Diesel,30.0,60.1,2.0,audi
 A3,2016,11495,Manual,55545,Diesel,20.0,70.6,1.6,audi
 A3,2017,11995,Manual,68643,Diesel,0.0,74.3,1.6,audi
 A6,2016,17995,Semi-Auto,58836,Diesel,30.0,61.4,2.0,audi
 A3,2015,9595,Manual,71335,Diesel,0.0,74.3,1.6,audi
 A6,2016,15495,Semi-Auto,57173,Diesel,20.0,64.2,2.0,audi
 Q3,2017,17695,Semi-Auto,46862,Diesel,145.0,55.4,2.0,audi
 A1,2016,10395,Manual,53440,Diesel,0.0,80.7,1.6,audi
 A1,2016,10495,Manual,45954,Diesel,0.0,80.7,1.6,audi
 Q3,2017,19445,Semi-Auto,25234,Diesel,145.0,55.4,2.0,audi
 Q3,2016,15845,Manual,22270,Petrol,125.0,50.4,1.4,audi
 Q5,2016,22995,Semi-Auto,19273,Diesel,200.0,47.1,2.0,audi
 A5,2018,24495,Automatic,40929,Diesel,145.0,58.9,3.0,audi
 Q2,2018,19895,Automatic,13144,Petrol,145.0,54.3,1.4,audi
 Q3,2017,17995,Manual,18998,Petrol,145.0,51.4,1.4,audi
 RS3,2015,28985,Automatic,15016,Petrol,300.0,34.9,2.5,audi
 A3,2020,23995,Manual,1560,Diesel,145.0,55.4,2.0,audi
 A6,2016,16995,Semi-Auto,36273,Diesel,30.0,61.4,2.0,audi
 A6,2018,20995,Automatic,27304,Diesel,145.0,64.2,2.0,audi
 Q8,2019,77888,Automatic,3011,Diesel,145.0,32.8,3.0,audi
 Q2,2019,19250,Manual,804,Petrol,145.0,47.1,1.0,audi
 Q5,2019,36444,Semi-Auto,5429,Diesel,145.0,38.2,2.0,audi
 A3,2018,18995,Manual,5864,Petrol,145.0,47.1,1.0,audi
 A3,2017,13695,Manual,26413,Petrol,20.0,60.1,1.0,audi
 A6,2020,37999,Automatic,2234,Petrol,145.0,34.0,2.0,audi
 A6,2019,29250,Automatic,10055,Diesel,145.0,47.9,2.0,audi
 Q2,2016,15990,Manual,35624,Diesel,30.0,64.2,1.6,audi
 A6,2015,22995,Semi-Auto,65866,Petrol,325.0,30.7,4.0,audi
 TT,2018,25495,Semi-Auto,10018,Petrol,145.0,42.8,2.0,audi
 TT,2015,16990,Semi-Auto,23026,Petrol,200.0,42.2,2.0,audi
 A5,2014,12995,Semi-Auto,83468,Diesel,150.0,53.3,2.0,audi
 A1,2016,12995,Manual,30123,Petrol,30.0,56.5,1.4,audi
 A3,2016,12790,Manual,38341,Petrol,125.0,52.3,1.4,audi
 A4,2017,14995,Semi-Auto,41000,Diesel,0.0,72.4,2.0,audi
 Q2,2017,15250,Manual,42755,Diesel,30.0,64.2,1.6,audi
 A1,2020,22990,Semi-Auto,1192,Petrol,145.0,44.8,1.5,audi
 Q2,2019,24448,Manual,3371,Petrol,145.0,43.5,1.5,audi
 A1,2019,20344,Manual,2853,Petrol,145.0,47.9,1.0,audi
 Q5,2020,53990,Semi-Auto,5480,Diesel,145.0,34.5,3.0,audi
 A1,2019,19888,Manual,3927,Petrol,145.0,47.9,1.0,audi
 Q2,2019,22890,Manual,3479,Petrol,145.0,44.8,1.5,audi
 RS6,2015,51995,Semi-Auto,11484,Petrol,325.0,29.4,4.0,audi
 5 Series,2016,13600,Automatic,65612,Diesel,30.0,62.8,2.0,BMW
 1 Series,2016,11700,Manual,21390,Diesel,20.0,72.4,1.5,BMW
 3 Series,2017,12450,Automatic,72065,Diesel,20.0,70.6,2.0,BMW
 5 Series,2016,13500,Automatic,62444,Diesel,125.0,60.1,2.0,BMW
 X3,2013,12750,Automatic,71558,Diesel,160.0,50.4,2.0,BMW
 X1,2017,16700,Automatic,34666,Diesel,145.0,65.7,2.0,BMW
 1 Series,2016,11400,Manual,22920,Diesel,20.0,72.4,1.5,BMW
 X5,2016,21000,Automatic,71626,Other,0.0,85.6,2.0,BMW
 X1,2017,14700,Manual,38405,Diesel,145.0,68.9,2.0,BMW
 3 Series,2018,19000,Automatic,20681,Diesel,145.0,64.2,2.0,BMW
 3 Series,2017,15400,Automatic,20529,Diesel,145.0,65.7,2.0,BMW
 X3,2016,19000,Automatic,42691,Diesel,145.0,54.3,2.0,BMW
 1 Series,2018,15000,Automatic,10058,Petrol,145.0,37.2,1.5,BMW
 3 Series,2016,17950,Automatic,40337,Diesel,145.0,53.3,3.0,BMW
 5 Series,2018,22600,Automatic,23195,Diesel,145.0,65.7,2.0,BMW
 1 Series,2017,13200,Manual,17117,Petrol,145.0,53.3,1.5,BMW
 3 Series,2017,12750,Manual,22153,Diesel,150.0,68.9,2.0,BMW
 3 Series,2015,9750,Manual,56038,Diesel,20.0,68.9,2.0,BMW
 3 Series,2017,10900,Automatic,78345,Diesel,0.0,74.3,2.0,BMW
 X4,2016,21400,Automatic,31084,Diesel,145.0,54.3,2.0,BMW
 1 Series,2017,14600,Automatic,5615,Petrol,145.0,58.9,1.5,BMW
 3 Series,2017,12600,Automatic,55751,Petrol,150.0,51.4,1.5,BMW
 X4,2017,22500,Automatic,35016,Diesel,150.0,54.3,2.0,BMW
 1 Series,2016,8000,Manual,81579,Diesel,0.0,83.1,1.5,BMW
 X1,2017,14800,Manual,31518,Diesel,145.0,60.1,2.0,BMW
 1 Series,2016,9900,Manual,44008,Diesel,0.0,83.1,1.5,BMW
 2 Series,2016,9500,Manual,59509,Diesel,20.0,68.9,2.0,BMW
 3 Series,2017,17950,Automatic,43703,Other,140.0,134.5,2.0,BMW
 1 Series,2016,14200,Automatic,36858,Diesel,125.0,60.1,2.0,BMW
 1 Series,2016,12100,Automatic,25786,Diesel,0.0,74.3,2.0,BMW
 1 Series,2016,12700,Automatic,24592,Diesel,20.0,68.9,2.0,BMW
 1 Series,2016,8800,Manual,51002,Diesel,0.0,83.1,1.5,BMW
 1 Series,2017,15000,Automatic,26052,Diesel,145.0,68.9,2.0,BMW
 3 Series,2017,17100,Automatic,31528,Diesel,145.0,64.2,2.0,BMW
 X3,2017,21750,Automatic,25776,Diesel,200.0,47.9,3.0,BMW
 1 Series,2016,13400,Manual,18055,Petrol,125.0,52.3,1.5,BMW
 3 Series,2014,9900,Automatic,63223,Diesel,20.0,68.9,2.0,BMW
 1 Series,2016,13700,Manual,8719,Petrol,125.0,52.3,1.5,BMW
 4 Series,2018,16900,Automatic,27133,Petrol,145.0,44.8,2.0,BMW
 5 Series,2018,21950,Automatic,21947,Diesel,150.0,68.9,2.0,BMW
 X1,2013,8750,Manual,80625,Diesel,160.0,51.4,2.0,BMW
 3 Series,2017,17000,Automatic,31501,Other,0.0,134.5,2.0,BMW
 1 Series,2016,13750,Automatic,8707,Petrol,30.0,55.5,1.5,BMW
 1 Series,2017,12800,Manual,10861,Petrol,125.0,53.3,1.5,BMW
 4 Series,2017,16000,Manual,16359,Petrol,145.0,46.3,2.0,BMW
 4 Series,2017,16600,Automatic,46913,Diesel,145.0,65.7,2.0,BMW
 3 Series,2017,15100,Manual,37747,Diesel,125.0,60.1,2.0,BMW
 4 Series,2017,16750,Manual,24882,Petrol,145.0,46.3,2.0,BMW
 1 Series,2015,12450,Manual,24474,Petrol,125.0,52.3,1.5,BMW
 3 Series,2018,15700,Automatic,29394,Petrol,145.0,48.7,2.0,BMW
 5 Series,2016,12600,Manual,59528,Diesel,125.0,60.1,2.0,BMW
 2 Series,2016,14600,Manual,15577,Petrol,160.0,44.1,2.0,BMW
 X1,2016,13700,Manual,52226,Diesel,20.0,68.9,2.0,BMW
 3 Series,2017,16900,Automatic,12330,Diesel,30.0,64.2,2.0,BMW
 4 Series,2015,15998,Semi-Auto,62943,Diesel,30.0,65.7,2.0,BMW
 X1,2020,31498,Semi-Auto,1560,Diesel,145.0,60.1,2.0,BMW
 2 Series,2020,27998,Manual,1580,Petrol,150.0,43.5,1.5,BMW
 X5,2020,54998,Semi-Auto,1500,Diesel,150.0,37.7,3.0,BMW
 3 Series,2014,11998,Manual,11545,Petrol,165.0,44.8,2.0,BMW
 2 Series,2020,25998,Automatic,3160,Hybrid,140.0,113.0,1.5,BMW
 1 Series,2020,31998,Semi-Auto,1560,Diesel,150.0,48.7,2.0,BMW
 X2,2020,29998,Manual,1850,Diesel,150.0,49.6,2.0,BMW
 X4,2019,33998,Semi-Auto,7272,Diesel,150.0,42.8,2.0,BMW
 X4,2019,33998,Semi-Auto,7272,Diesel,150.0,42.8,2.0,BMW
 1 Series,2017,14995,Manual,19866,Diesel,30.0,65.7,2.0,BMW
 4 Series,2016,17995,Semi-Auto,22476,Petrol,145.0,48.7,2.0,BMW
 1 Series,2013,14498,Semi-Auto,42786,Petrol,235.0,37.7,3.0,BMW
 1 Series,2015,10998,Manual,42410,Diesel,30.0,65.7,2.0,BMW
 5 Series,2014,11998,Semi-Auto,60681,Diesel,125.0,57.6,2.0,BMW
 X1,2016,14498,Manual,57717,Diesel,125.0,58.9,2.0,BMW
 3 Series,2017,16998,Semi-Auto,8096,Petrol,145.0,51.4,2.0,BMW
 1 Series,2015,11498,Manual,49151,Diesel,30.0,62.8,2.0,BMW
 X6,2017,29498,Semi-Auto,40429,Diesel,200.0,47.1,3.0,BMW
 M4,2016,31498,Semi-Auto,21107,Petrol,300.0,34.0,3.0,BMW
 1 Series,2016,19498,Semi-Auto,33043,Petrol,200.0,39.8,3.0,BMW
 X1,2016,17998,Semi-Auto,50378,Diesel,125.0,57.6,2.0,BMW
 5 Series,2019,25998,Semi-Auto,11115,Diesel,145.0,65.7,2.0,BMW
 X1,2013,8298,Manual,69020,Diesel,125.0,57.6,2.0,BMW
 8 Series,2019,61898,Semi-Auto,2650,Diesel,145.0,39.8,3.0,BMW
 1 Series,2014,13298,Manual,55834,Petrol,300.0,35.3,3.0,BMW
 3 Series,2019,21898,Semi-Auto,5761,Diesel,150.0,55.4,2.0,BMW
 1 Series,2017,11498,Semi-Auto,47110,Diesel,0.0,78.5,1.5,BMW
 X3,2014,17495,Semi-Auto,54075,Diesel,145.0,54.3,2.0,BMW
 5 Series,2015,14998,Semi-Auto,45152,Diesel,30.0,62.8,2.0,BMW
 2 Series,2014,10498,Manual,52091,Diesel,125.0,58.9,2.0,BMW
 1 Series,2019,19998,Semi-Auto,4812,Petrol,145.0,47.9,2.0,BMW
 X1,2016,16698,Semi-Auto,37272,Petrol,160.0,44.8,2.0,BMW
 3 Series,2019,27998,Semi-Auto,4250,Diesel,145.0,48.7,2.0,BMW
 5 Series,2018,27798,Semi-Auto,15711,Diesel,145.0,60.1,3.0,BMW
 1 Series,2016,18298,Manual,21236,Petrol,260.0,36.2,3.0,BMW
 1 Series,2017,14698,Semi-Auto,24008,Petrol,145.0,55.5,1.5,BMW
 X1,2016,18498,Semi-Auto,25994,Diesel,145.0,55.4,2.0,BMW
 X5,2015,27998,Automatic,24188,Diesel,200.0,47.1,3.0,BMW
 X5,2015,21498,Automatic,59216,Diesel,200.0,47.9,3.0,BMW
 1 Series,2017,19498,Manual,21171,Petrol,260.0,36.2,3.0,BMW
 1 Series,2017,14498,Manual,24259,Petrol,145.0,52.3,1.5,BMW
 5 Series,2017,22998,Semi-Auto,19379,Diesel,145.0,65.7,2.0,BMW
 1 Series,2017,14498,Manual,20790,Diesel,145.0,70.6,1.5,BMW
 5 Series,2019,29898,Semi-Auto,2743,Diesel,145.0,60.1,2.0,BMW
 3 Series,2019,22998,Semi-Auto,6000,Petrol,145.0,48.7,2.0,BMW
 3 Series,2019,29998,Manual,3980,Diesel,145.0,53.3,2.0,BMW
 4 Series,2019,29898,Semi-Auto,101,Diesel,145.0,60.1,2.0,BMW
 5 Series,2017,20498,Semi-Auto,12725,Diesel,145.0,68.9,2.0,BMW
 3 Series,2019,27650,Semi-Auto,18200,Diesel,150.0,48.7,2.0,BMW
 Z4,2016,18650,Semi-Auto,25300,Petrol,205.0,41.5,2.0,BMW
 4 Series,2018,22995,Automatic,7200,Petrol,145.0,48.7,2.0,BMW
 X6,2018,36995,Semi-Auto,6100,Diesel,145.0,47.1,3.0,BMW
 5 Series,2018,26995,Automatic,6800,Diesel,145.0,68.9,2.0,BMW
 1 Series,2013,11995,Manual,31600,Diesel,125.0,57.6,2.0,BMW
 5 Series,2018,25995,Semi-Auto,8700,Diesel,145.0,49.6,2.0,BMW
 X6,2016,29995,Automatic,43600,Diesel,200.0,44.8,3.0,BMW
 3 Series,2018,21495,Semi-Auto,16452,Petrol,150.0,48.7,2.0,BMW
 5 Series,2017,22998,Automatic,15838,Diesel,145.0,60.1,2.0,BMW
 5 Series,2019,34498,Automatic,6775,Diesel,145.0,51.4,3.0,BMW
 1 Series,2019,18498,Semi-Auto,11234,Diesel,145.0,68.9,2.0,BMW
 7 Series,2019,45898,Semi-Auto,5893,Diesel,145.0,44.1,3.0,BMW
 X3,2019,37898,Semi-Auto,9781,Diesel,145.0,48.7,3.0,BMW
 X5,2016,34498,Automatic,17303,Hybrid,0.0,85.6,2.0,BMW
 1 Series,2016,17998,Manual,25334,Petrol,300.0,35.3,3.0,BMW
 3 Series,2016,18498,Semi-Auto,36501,Diesel,145.0,53.3,3.0,BMW
 2 Series,2019,23998,Semi-Auto,2318,Petrol,145.0,47.9,2.0,BMW
 X1,2017,21498,Semi-Auto,14418,Diesel,145.0,55.4,2.0,BMW
 X1,2017,18500,Semi-Auto,12160,Diesel,145.0,65.7,2.0,BMW
 X3,2018,31000,Semi-Auto,20290,Diesel,145.0,48.7,3.0,BMW
 X1,2016,19500,Semi-Auto,13690,Diesel,125.0,57.6,2.0,BMW
 X5,2017,34000,Automatic,22158,Diesel,205.0,47.1,3.0,BMW
 X5,2015,28000,Automatic,36174,Diesel,205.0,47.1,3.0,BMW
 3 Series,2018,22000,Semi-Auto,30000,Diesel,150.0,53.3,3.0,BMW
 1 Series,2016,16000,Manual,40125,Petrol,305.0,35.3,3.0,BMW
 3 Series,2017,18000,Manual,20087,Petrol,165.0,44.8,2.0,BMW
 X7,2020,78000,Semi-Auto,5000,Diesel,150.0,31.4,3.0,BMW
 3 Series,2018,22500,Semi-Auto,11150,Petrol,145.0,48.7,2.0,BMW
 1 Series,2018,15500,Manual,5827,Petrol,145.0,37.7,1.5,BMW
 4 Series,2019,29000,Semi-Auto,14000,Diesel,145.0,50.4,3.0,BMW
 4 Series,2019,24700,Semi-Auto,5196,Diesel,145.0,65.7,2.0,BMW
 2 Series,2019,24000,Semi-Auto,2500,Petrol,145.0,39.2,1.5,BMW
 1 Series,2018,16000,Manual,7000,Diesel,145.0,50.4,1.5,BMW
 X3,2019,56000,Semi-Auto,26,Petrol,145.0,24.8,3.0,BMW
 1 Series,2019,32000,Semi-Auto,4493,Petrol,145.0,34.5,2.0,BMW
